[ 00:00:02.096 -->  00:00:06.561] 0 SPEAKER_00
[ 00:00:08.140 -->  00:00:13.998] 0 SPEAKER_00
[ 00:00:14.490 -->  00:00:17.835] 0 SPEAKER_00
[ 00:00:19.074 -->  00:00:25.458] 0 SPEAKER_00
[ 00:00:26.086 -->  00:00:27.835] 0 SPEAKER_00
[ 00:00:28.344 -->  00:00:29.448] 0 SPEAKER_00
[ 00:00:30.398 -->  00:00:33.200] 0 SPEAKER_00
[ 00:00:33.539 -->  00:00:35.814] 0 SPEAKER_00
[ 00:00:36.086 -->  00:00:41.689] 0 SPEAKER_00
[ 00:00:41.994 -->  00:00:56.290] 0 SPEAKER_00
[ 00:00:56.171 -->  00:01:16.731] 2 SPEAKER_02
[ 00:01:16.001 -->  00:01:25.000] 1 SPEAKER_01
[ 00:01:23.896 -->  00:01:43.998] 2 SPEAKER_02
